Games before prediction,Accuracy,Euclidean Error
1,0.24888888888888894,1.39356245852
2,0.25555555555555554,1.33168252829
3,0.2566666666666667,1.41858974551
4,0.23333333333333328,1.34039510286
5,0.24222222222222223,1.41518989218
6,0.24555555555555553,1.39954511646
7,0.24,1.45278050849
8,0.22999999999999998,1.44813329446
9,0.25222222222222224,1.4906791355
10,0.2577777777777778,1.40954662461
11,0.2633333333333333,1.41169917596
12,0.24555555555555553,1.38772739237
13,0.24444444444444446,1.53358328027
14,0.25,1.49154660428
15,0.25555555555555554,1.35878736637
16,0.25222222222222224,1.33497221727
17,0.23222222222222222,1.48327417184
18,0.2733333333333333,1.37554821923
19,0.22888888888888892,1.44091218542
20,0.23222222222222222,1.44197013627
21,0.25111111111111106,1.40986015074
22,0.24777777777777776,1.54683088108
23,0.25111111111111106,1.44709927423
24,0.23444444444444446,1.42333318918
25,0.2677777777777778,1.33798787159
26,0.2533333333333333,1.38187430736
27,0.24777777777777776,1.41408323623
28,0.2777777777777778,1.32736722595
29,0.2188888888888889,1.49627063442
30,0.22111111111111115,1.45434876405
31,0.2533333333333333,1.42874297504
32,0.24777777777777776,1.54969396466
33,0.2633333333333333,1.49702262891
34,0.2466666666666667,1.50191944355
35,0.2577777777777778,1.40122940222
36,0.24777777777777776,1.4360037637
37,0.22666666666666668,1.54889996698
